Region,Station,Longitude,Latitude
AECI,CRAIG_AE,-95.3657,40.2274
AECI,DEARBRN,-94.75,39.51
AECI,DRLNGTON,-94.4029,40.1843
AECI,DRYFORK2,-94.345,39.4191
AECI,EAGLEVIL,-91.6807,40.4079
AECI,FAIRPORT,-94.3423,40.0084
AECI,FILLMORE,-91.6807,40.4079
AECI,FLAG_SPG,-94.7393,40.0256
AECI,GALLATI2,-93.8951,39.891
AECI,GALT,-93.4227,40.1692
AECI,GENTRY,-91.6807,40.4079
AECI,GOSHEN,-93.6819,40.3828
AECI,GOWER,-94.6373,39.7004
AECI,GRANT3,-91.6807,40.4079
AECI,GRNBRIAR,-94.65,39.4
AECI,HALE,-93.309,39.6226
AECI,HAMBURG,-95.67,40.62
AECI,HARTFOR3,-92.8565,40.4771
AECI,HICKORY,-93.6624,40.0001
AECI,HOLT,-94.3395,39.4435
AECI,HOOVER,-94.7082,39.372
AECI,HOPKINS2,-94.73,40.56
AECI,HUMPHREY,-93.2916,40.1292
AECI,IND_PRK,-93.5758,39.7962
AECI,INDGROVE,-93.0479,39.5104
AECI,IPL_TP,-95.23,40.65
AECI,JAMESON,-93.8705,40.0314
AECI,JAMESPRT,-93.7925,40.0501
AECI,JOHNSTON,-91.6807,40.4079
AECI,KATY,-94.3823,39.4181
AECI,KEARNEY,-94.3378,39.356
AECI,KIDDER,-94.0512,39.7613
AECI,KING_CTY,-94.577,40.0572
AECI,KNOXVL,-94.0026,39.4164
AECI,LACLEDE,-93.1436,39.7996
AECI,LATH_AEC,-94.3162,39.536
AECI,LBRT_AEC,-94.4259,39.2227
AECI,LEVASY,-91.6807,40.4079
AECI,LINDEN2,-91.6807,40.4079
AECI,LOCUST2,-93.1522,40.2053
AECI,LTHRPTP,-94.21,39.87
AECI,LUCERNE,-93.2589,40.4948
AECI,MABEL,-94.08,39.9
AECI,MAGNOLIA,-91.6807,40.4079
AECI,MARYVIL,-94.8431,40.346
AECI,MAYSVIL2,-94.4202,39.9012
AECI,MEADVL,-93.3449,39.8064
AECI,MERCER,-93.5329,40.5275
AECI,MIDWAY,-94.7888,40.1487
AECI,MILAN,-93.0317,40.2327
AECI,MILANCTY,-93.117,40.2054
AECI,MO_CITY,-94.3094,39.2318
AECI,MOUND2,-95.2205,40.174
AECI,MPSJCT,-93.58,39.99
AECI,MPSLARED,-93.58,39.99
AECI,MPSTRENT,-93.58,39.99
AECI,N_BORO,-95.31,40.62
AECI,NETTLTON,-93.7912,39.7822
AECI,NEWPOINT,-95.04,40.12
AECI,NEWTOWN,-93.2349,40.3628
AECI,OAKGR461,-94.1487,38.9986
AECI,ODESSA,-93.9674,38.9889
AECI,ORRICK,-94.1187,39.2037
AECI,PARADSE,-94.5033,39.4377
AECI,PHELPS,-91.6807,40.4079
AECI,PITTSVI2,-94.0214,38.8526
AECI,PLATTE,-94.7244,39.3646
AECI,POLO,-93.9763,39.5845
AECI,PRINCTON,-93.5618,40.4037
AECI,PSF,-93.1274,40.2166
AECI,PSFTAP,-93.1274,40.2166
AECI,QUITMAN,-95.0292,40.3275
AECI,RIDGEWA2,-93.9591,40.3772
AECI,ROCKPOR2,-95.51,40.41
AECI,ROSEHIL2,-93.9879,38.6243
AECI,SAVANNAH,-94.8215,39.9515
AECI,SHELBY3,-93.08,39.93
AECI,SHERIDA2,-94.57,40.53
AECI,SKIDMORE,-94.9313,40.3085
AECI,SMITHVIL,-94.5861,39.3618
AECI,STANBERY,-94.5894,40.2592
AECI,STET,-93.643,39.4311
AECI,STEWRTVL,-94.4321,39.7735
AECI,STRD_TP,-95.28,40.63
AECI,SUMRSET,-94.2641,39.3495
AECI,TARKIO,-95.3489,40.4371
AECI,TINDAL,-93.6539,40.1843
AECI,TREN_CTY,-93.601,40.1045
AECI,TRENTON2,-93.559,40.1142
AECI,TURNEY,-94.335,39.5885
AECI,UNIONVL,-93.0218,40.4594
AECI,WESTBRDG,-94.5328,39.5405
AECI,WESTON2,-91.6807,40.4079
AECI,2HYDRO,-92.79,37.89
AECI,2TRASK,-92.5718,36.9222
AECI,5HOLMAN,-93.0467,37.2542
AECI,ALTON,-91.3972,36.7089
AECI,AVA,-92.6662,36.9762
AECI,BEM,-91.4675,38.3235
AECI,BOURBON,-91.2727,38.1674
AECI,BRCHTREE,-91.5033,36.976
AECI,BRSH_CRK,-92.7274,37.6938
AECI,CALFIELD,-92.1053,36.61
AECI,CAMDENTN,-92.6851,37.9785
AECI,CAMDN_1,-92.7523,37.995
AECI,CAMDNTP,-92.6851,37.9785
AECI,CHINA2,-91.8983,36.6342
AECI,CODY,-93.1183,37.0928
AECI,COFFMAN,-92.6613,37.6211
AECI,CONKLIN,-93.0183,37.3849
AECI,CONWAY2,-92.85,37.48
AECI,COUCH_AE,-91.3636,36.6042
AECI,COXCRK,-91.3251,36.6374
AECI,CROCKER,-92.2623,37.9624
AECI,CUBA,-91.3976,38.0862
AECI,CULL,-91.66,36.7
AECI,DARIEN,-91.6084,37.4989
AECI,DIXON,-92.0516,38.0265
AECI,DORA,-92.2416,36.8202
AECI,DUNN,-92.2116,37.1826
AECI,EDGR_SPG,-91.8502,37.6936
AECI,EDITH,-92.87,37.92
AECI,ELDRIDGE,-92.75,37.7913
AECI,EMINENCE,-91.3697,37.1407
AECI,EXPLORER,-92.6253,37.8174
AECI,FT_WOOD,-92.121,37.7869
AECI,GAINESVL,-92.5159,36.6649
AECI,GAINSVL1,-92.5159,36.6649
AECI,GROVE_SP,-92.5839,37.4039
AECI,GSPL_RDG,-92.1327,37.8357
AECI,GULF10,-91.67,36.88
AECI,HARTVL,-92.528,37.25
AECI,HAUGH,-92.7583,38.0259
AECI,HENRY,-91.7403,36.6995
AECI,HOOKER,-92.07,37.82
AECI,HOUSTON2,-91.9682,37.3273
AECI,IBERIA,-92.3005,38.0684
AECI,KOSH,-91.6425,36.6099
AECI,LAKEVIE2,-92.63,38.21
AECI,LAQUEY,-92.3091,37.7585
AECI,LEB1,-92.6499,37.7011
AECI,LEBANON2,-92.5298,37.6635
AECI,LICKING,-92.8425,37.0936
AECI,LOGAN3,-92.9557,37.1474
AECI,LONGLANE,-92.9015,37.6082
AECI,MANSFLD,-92.5963,37.114
AECI,MARIES,-92.049,38.0295
AECI,MARSHFLD,-92.88,37.33
AECI,MCKS_CRK,-92.9531,37.9693
AECI,MONTAK,-91.704,37.4433
AECI,MONTREAL,-92.5942,37.9684
AECI,MTN_VIEW,-91.6706,36.9905
AECI,MTNGROV2,-92.2823,37.102
AECI,MTNGROV3,-92.2823,37.102
AECI,N_MNSFLD,-92.6031,37.1421
AECI,NEWBURG,-91.9115,37.911
AECI,NMRSHFLD,-92.8808,37.3292
AECI,OLDEN,-91.82,36.84
AECI,ORLA,-92.581,37.5076
AECI,OWENSVL,-91.3334,38.3264
AECI,PERI_AEC,-91.0509,38.1314
AECI,PHILLIPS,-92.8167,37.6356
AECI,POMONA,-91.81,36.98
AECI,PROTEM,-92.4414,36.5615
AECI,RICHFNTN,-91.8621,38.7855
AECI,RICHLAN3,-91.2376,37.1157
AECI,ROACH,-92.0603,38.0875
AECI,ROBY,-92.1397,37.5179
AECI,ROGERSVL,-93.0138,37.1177
AECI,ROLLA_E,-91.7301,37.9972
AECI,ROSATI,-91.52,38.01
AECI,S_ROLLA,-91.7018,37.9119
AECI,SAFE,-92.0603,38.0875
AECI,SALEM,-91.5173,37.6911
AECI,SALEM2,-91.5173,37.6911
AECI,SALEM4,-91.5173,37.6911
AECI,SEYMOUR2,-92.7519,37.1549
AECI,SHORTBND,-91.34,37.75
AECI,SOLO,-91.9255,37.1993
AECI,SOUTHARD,-92.19,37.56
AECI,ST_JAME2,-91.6278,38.0172
AECI,STANTON1,-91.1789,38.2
AECI,STEELVL,-91.3415,37.9455
AECI,STOUTLND,-92.5266,37.8213
AECI,SUL2,-91.18,38.1788
AECI,SUL2,-91.203,38.1797
AECI,SULLV12,-91.185,38.1873
AECI,SULLVN2,-91.1807,38.1965
AECI,SUMRSVL,-91.6666,37.1803
AECI,SWEDEN,-92.593,36.9336
AECI,SWEETWTR,-91.1452,37.3596
AECI,TECUMSE2,-92.2635,36.605
AECI,THEODOS,-92.439,36.518
AECI,VANZANT,-92.2571,37.0087
AECI,VETO,-91.8406,38.0804
AECI,W_PLAING,-91.8814,36.696
AECI,W_PLAINS,-91.8814,36.696
AECI,W_PLNS1,-91.8814,36.696
AECI,W_ROLLA,-91.7995,37.9826
AECI,WASOLA,-92.5875,36.7712
AECI,WAYNESVL,-92.2102,37.7984
AECI,WILLOWSP,-91.9361,36.9694
AECI,WINONA,-91.3395,37.0014
AECI,5LBRTYTP,-94.5,35.5
AECI,5LIBRTY,-94.5,35.5
AECI,BROOK_LN,-93.3746,37.1711
AECI,CLAY2,-93.2227,37.1543
AECI,MEMORIAL,-97.16,35.64
AECI,SPRGFLD,-93.339,37.1622
AEP,21WWVSTA,-84.8952,39.8031
AEP,23RDSTRE,-85.3951,40.167
AEP,ABERT,-79.2215,37.5088
AEP,ABINGDON,-82.0083,36.7203
AEP,ACADEMIA,-82.4643,40.4277
AEP,ADAMS,-85.0449,40.655
AEP,ADAMSIM,-85.0449,40.655
AEP,ADDISON,-82.1493,38.8616
AEP,AIRCO8,-83.4061,41.1466
AEP,AKSTEEL,-87.0354,37.9294
AEP,ALBIONIM,-85.4247,41.3737
AEP,ALLENIM,-84.9776,41.0141
AEP,ALLOY,-81.2723,38.1295
AEP,ALUMRIDG,-80.3983,36.9754
AEP,AMALLOY,-81.9288,38.9568
AEP,AMOS,-81.8295,38.4737
AEP,ANGELBRA,-81.827,38.1405
AEP,ANTHONY,-85.0863,41.0684
AEP,ANTHONYT,-85.0863,41.0684
AEP,APPLECRE,-81.8445,40.7446
